Sample	Taxonomy	Count
FrozenWWsample	k:Bacteria(1.00),p:Campylobacterota(1.00),c:Campylobacteria(1.00),o:Campylobacterales(1.00),f:Arcobacteraceae(1.00),g:uncultured(0.88),s:uncultured bacterium(1.00)	290
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Flavobacteriaceae(1.00),g:Flavobacterium(1.00),s:Flavobacterium nitratireducens(0.11)	288
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(0.40),o:Lachnospirales(0.40),f:Lachnospiraceae(0.40),g:Lachnospiraceae UCG-008(0.40),s:uncultured bacterium(0.54)	284
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Flavobacteriaceae(1.00),g:Flavobacterium(1.00),s:uncultured Bacteroidetes bacterium(0.40)	283
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(1.00),g:Bacteroides(1.00),s:unidentified(0.30)	277
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(0.94),c:Clostridia(0.94),o:Lachnospirales(0.94),f:Lachnospiraceae(0.94),g:Agathobacter(0.44),s:uncultured bacterium(0.90)	272
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(0.99),o:Oscillospirales(0.36),f:Ruminococcaceae(0.34),g:Ruminococcus(0.34),s:uncultured bacterium(0.99)	264
FrozenWWsample	k:Bacteria(1.00),p:Fusobacteriota(1.00),c:Fusobacteriia(1.00),o:Fusobacteriales(1.00),f:Leptotrichiaceae(1.00),g:Sebaldella(1.00),s:Sebaldella termitidis ATCC 33386(0.66)	248
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Oscillospirales(1.00),f:Ruminococcaceae(1.00),g:Faecalibacterium(1.00),s:uncultured bacterium(1.00)	246
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Rikenellaceae(1.00),g:Alistipes(1.00),s:uncultured bacterium(1.00)	236
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Prevotellaceae(0.76),g:Prevotella_9(0.36),s:Prevotella paludivivens(0.20)	232
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Rhodocyclaceae(1.00),g:Propionivibrio(1.00),s:uncultured soil bacterium(0.68)	232
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Flavobacteriales(1.00),f:Weeksellaceae(1.00),g:Chryseobacterium(0.99),s:Chryseobacterium sp.(0.59)	227
FrozenWWsample	k:Bacteria(1.00),p:Fusobacteriota(1.00),c:Fusobacteriia(1.00),o:Fusobacteriales(1.00),f:Leptotrichiaceae(1.00),g:Leptotrichia(1.00),s:uncultured bacterium(1.00)	223
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Prevotellaceae(0.89),g:Prevotella_9(0.45),s:uncultured bacterium(0.92)	222
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(0.99),o:Clostridia vadinBB60 group(0.94),f:uncultured bacterium(0.93)	219
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Comamonadaceae(0.99),g:uncultured(0.19),s:uncultured bacterium(0.80)	211
